"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"454",623352,"Hader, Josh","485","93.6","0.135","0.112","0.243","0.247","0.238","0.244","0.142","12","89","85.2","24.1","2222","92.7","89.21","105","218","236","-3.5","6.64","111","153","116","146","303","326","301"
"454",459429,"McGee, Jake","454","100.0","0.202","0.114","0.228","0.316","0.234","0.274","0.232","23","114","92.0","19.1","2033","94.1","92.40","48","265","189","-1.7","6.14","112","153","111","149","300","323","294"
"454",621074,"Rucker, Michael","490","92.7","0.253","0.172","0.318","0.424","0.331","0.355","0.260","25","99","90.6","14.3","2396","89.6","89.59","71","223","231","0.0","6.24","107","154","118","150","300","325","302"
"454",593619,"Tapia, Domingo","485","93.6","0.182","0.061","0.227","0.242","0.237","0.280","0.226","18","99","89.1","8.1","2195","95.1","94.39","37","185","269","-0.7","5.82","106","156","114","144","300","323","299"
"453",628452,"Iglesias, Raisel","573","79.1","0.218","0.145","0.299","0.364","0.253","0.252","0.208","24","110","86.7","17.3","2436","92.0","91.11","84","235","218","-0.9","6.05","113","157","118","149","303","327","297"
"452",683232,"Mears, Nick","452","100.0","0.269","0.194","0.303","0.462","0.349","0.338","0.252","25","93","86.6","16.2","2224","89.7","90.35","54","215","237","0.6","6.68","111","152","121","149","300","322","293"
"446",681806,"Wantz, Andrew","483","92.3","0.229","0.167","0.321","0.396","0.308","0.302","0.221","22","96","87.9","23.0","2375","89.8","89.42","64","212","234","-0.4","6.12","111","157","117","148","303","326","296"
"445",643316,"Fry, Paul","447","99.6","0.241","0.133","0.298","0.373","0.355","0.367","0.250","20","83","87.7","13.2","2482","88.7","88.50","36","168","277","-0.2","6.19","107","153","119","147","295","321","293"
"444",433589,"Petit, Yusmeiro","555","80.0","0.257","0.186","0.240","0.442","0.309","0.380","0.316","29","113","87.0","18.3","2122","84.7","85.41","39","220","224","0.7","7.04","110","151","119","148","302","327","296"
"442",605164,"Bundy, Dylan","474","93.2","0.202","0.234","0.197","0.436","0.324","0.350","0.229","19","94","89.6","17.2","2414","84.9","84.12","31","177","265","-0.8","5.82","110","155","117","148","304","328","295"
"442",472610,"García, Luis","501","88.2","0.196","0.089","0.238","0.286","0.234","0.285","0.230","22","112","90.5","9.4","2244","94.3","94.71","66","219","223","0.4","6.56","113","155","119","148","299","321","295"
"441",595939,"Ellis, Chris","482","91.5","0.200","0.100","0.237","0.300","0.276","0.345","0.258","20","100","92.0","22.9","2375","89.4","89.44","52","209","232","0.0","6.44","109","155","118","149","296","324","292"
"440",650644,"Civale, Aaron","521","84.5","0.262","0.243","0.278","0.505","0.348","0.346","0.250","27","103","88.9","11.6","2555","85.6","85.02","46","212","228","-0.6","5.74","113","154","119","149","297","318","294"
"439",670912,"Oviedo, Johan","503","87.3","0.252","0.155","0.288","0.408","0.344","0.375","0.276","26","103","88.9","7.6","2291","89.8","91.45","39","196","243","1.6","7.09","115","152","114","148","295","318","296"
"439",606424,"García, Jarlín","615","71.4","0.214","0.196","0.247","0.411","0.285","0.283","0.218","24","112","88.9","11.4","2206","89.9","88.11","45","208","231","-1.8","6.45","110","153","109","150","295","321","297"
"438",641907,"Murphy, Patrick","445","98.4","0.262","0.117","0.342","0.379","0.318","0.328","0.270","27","103","90.5","6.9","2152","92.2","92.45","48","204","234","0.2","6.42","108","151","117","144","299","320","292"
"436",572193,"Tepera, Ryan","478","91.2","0.200","0.144","0.281","0.344","0.282","0.259","0.177","18","90","87.3","20.3","2282","89.5","89.69","71","208","228","0.2","6.37","108","153","114","148","299","320","298"
"432",656061,"Abreu, Albert","515","83.9","0.228","0.196","0.254","0.424","0.336","0.350","0.254","21","92","83.3","8.5","2158","93.9","93.97","45","194","238","0.1","6.41","110","152","120","146","300","323","288"
"431",664948,"Misiewicz, Anthony","431","100.0","0.265","0.133","0.310","0.398","0.306","0.333","0.266","30","113","90.5","15.3","2408","88.3","87.44","56","230","201","-0.9","5.88","113","154","115","148","292","314","291"
"430",642528,"Loáisiga, Jonathan","513","83.8","0.250","0.040","0.338","0.290","0.258","0.251","0.214","25","100","83.2","1.7","2445","95.3","95.52","59","225","205","0.2","6.58","109","152","116","145","298","323","289"
"426",446372,"Kluber, Corey","490","86.9","0.302","0.167","0.382","0.469","0.365","0.329","0.270","29","96","85.5","14.6","2331","86.2","86.49","50","199","227","0.3","6.47","107","149","116","146","298","319","287"
"425",608328,"De Jong, Chase","448","94.9","0.299","0.309","0.333","0.608","0.409","0.423","0.297","29","97","91.8","15.7","2441","87.4","86.65","47","202","223","-0.7","5.80","112","152","118","148","303","326","297"
"421",670280,"Bednar, David","504","83.5","0.146","0.063","0.233","0.208","0.197","0.222","0.168","14","96","88.6","22.0","2352","90.9","91.35","74","226","195","0.4","6.56","112","154","120","149","301","322","294"
"421",657248,"Otto, Glenn","448","94.0","0.309","0.160","0.422","0.468","0.365","0.344","0.271","29","94","88.0","9.1","2334","86.9","88.17","49","213","208","1.3","7.07","115","154","121","148","302","321","295"
"421",446321,"Detwiler, Ross","435","96.8","0.228","0.370","0.214","0.598","0.380","0.361","0.239","21","92","90.2","17.9","2100","88.6","85.62","37","194","227","-3.0","5.53","111","152","121","148","298","317","294"
"420",570666,"Cessa, Luis","495","84.8","0.250","0.134","0.278","0.384","0.291","0.298","0.261","28","112","85.3","10.1","2333","87.1","86.56","46","203","217","-0.5","5.73","114","153","115","148","294","319","288"
"419",592716,"Sampson, Adrian","554","75.6","0.247","0.258","0.236","0.505","0.351","0.359","0.260","24","97","89.7","17.0","2084","90.1","90.29","32","206","213","0.2","6.47","107","153","117","151","300","322","298"
