"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"456",445276,"Jansen, Kenley","456","100.0","0.098","0.043","0.131","0.141","0.186","0.260","0.161","9","92","84.2","20.8","2624","91.6","92.24","67","212","244","0.6","7.26","113","157","114","150","298","316","289"
"455",642528,"Loáisiga, Jonathan","572","79.5","0.210","0.040","0.250","0.250","0.241","0.221","0.176","21","100","83.7","-1.2","2418","95.0","95.25","56","238","217","0.2","6.59","105","152","115","147","300","328","288"
"454",448855,"Guerra, Junior","570","79.6","0.240","0.130","0.250","0.370","0.326","0.327","0.243","24","100","87.2","14.9","2426","88.6","88.25","41","191","263","-0.3","6.43","113","156","117","149","303","324","297"
"454",571521,"Brothers, Rex","454","100.0","0.186","0.116","0.295","0.302","0.281","0.307","0.206","16","86","91.4","18.1","2149","92.0","91.35","70","206","248","-0.7","5.97","113","154","115","150","293","319","298"
"454",650556,"Abreu, Bryan","454","100.0","0.231","0.143","0.269","0.374","0.312","0.329","0.232","21","91","89.5","10.3","2440","91.5","91.18","64","207","247","-0.3","6.25","111","155","115","149","293","324","292"
"454",613534,"Adams, Austin","454","100.0","0.145","0.060","0.261","0.205","0.273","0.278","0.143","12","83","82.5","15.8","2856","87.8","87.15","63","185","269","-0.7","5.81","113","154","122","146","298","320","306"
"453",663432,"Rainey, Tanner","453","100.0","0.225","0.225","0.275","0.450","0.360","0.357","0.212","18","80","92.1","26.5","2369","92.8","92.58","78","211","242","-0.2","6.17","109","153","121","145","304","321","298"
"451",519326,"Strickland, Hunter","466","96.8","0.268","0.206","0.301","0.474","0.357","0.378","0.273","26","97","88.2","16.8","2530","90.7","89.58","49","225","226","-1.1","6.18","109","155","119","148","302","322","297"
"451",641394,"Brentz, Jake","520","86.7","0.161","0.097","0.210","0.258","0.254","0.340","0.228","15","93","89.1","8.3","2246","92.4","91.59","65","201","250","-0.8","6.38","106","156","115","144","295","322","301"
"449",643256,"Cimber, Adam","449","100.0","0.257","0.080","0.305","0.336","0.297","0.319","0.271","29","113","87.4","10.0","2259","84.0","82.96","37","216","233","-1.0","6.36","107","148","114","146","295","311","287"
"447",433589,"Petit, Yusmeiro","527","84.8","0.242","0.108","0.260","0.350","0.267","0.274","0.232","29","120","86.1","19.8","2111","84.5","85.70","48","230","216","1.2","7.11","109","150","122","152","304","328","302"
"445",676969,"de Geus, Brett","445","100.0","0.283","0.111","0.351","0.394","0.350","0.336","0.255","28","99","88.4","-0.2","2271","89.7","88.27","39","187","258","-1.4","5.73","111","153","121","146","296","326","295"
"445",548384,"Raley, Brooks","469","94.9","0.257","0.105","0.357","0.362","0.299","0.309","0.256","27","105","81.8","12.1","2653","86.1","85.27","69","221","224","-0.8","5.72","112","153","114","147","293","324","293"
"445",623352,"Hader, Josh","479","92.9","0.110","0.033","0.222","0.143","0.165","0.207","0.150","10","91","89.0","22.6","2171","92.4","86.40","103","241","204","-6.0","6.64","110","154","118","149","306","328","302"
"445",595465,"Winkler, Dan","445","100.0","0.174","0.081","0.233","0.256","0.276","0.294","0.202","15","86","84.7","13.7","2560","91.3","91.93","57","215","230","0.6","6.53","111","153","114","149","295","323","296"
"445",622092,"Zimmer, Kyle","454","98.0","0.169","0.067","0.226","0.236","0.226","0.261","0.174","15","89","88.7","7.3","2196","87.8","86.93","52","204","241","-0.9","6.18","108","157","116","145","298","320","302"
"442",650895,"Castillo, Diego","442","100.0","0.238","0.198","0.322","0.436","0.306","0.248","0.193","24","101","85.1","6.7","2157","89.2","87.32","80","229","213","-1.9","5.42","107","154","116","146","299","319","291"
"442",598264,"Barnes, Matt","442","100.0","0.158","0.109","0.283","0.267","0.209","0.203","0.150","16","101","89.2","16.0","2268","91.3","91.95","83","220","222","0.7","6.75","111","154","120","147","292","325","295"
"441",667463,"King, John","541","81.5","0.286","0.071","0.348","0.357","0.315","0.288","0.236","32","112","91.0","-5.8","2071","89.5","88.13","49","210","231","-1.4","5.98","113","154","119","147","296","326","295"
"441",621242,"Díaz, Edwin","441","100.0","0.220","0.050","0.355","0.270","0.251","0.260","0.203","22","100","85.9","12.3","2337","96.3","97.88","79","233","208","1.6","7.20","115","154","114","150","304","330","306"
"441",656685,"Martin, Brett","441","100.0","0.295","0.089","0.360","0.384","0.306","0.287","0.257","33","112","88.3","4.4","2183","89.5","89.10","56","236","205","-0.4","6.14","110","152","121","145","294","324","293"
"441",519151,"Pressly, Ryan","441","100.0","0.208","0.057","0.292","0.264","0.221","0.251","0.213","22","106","90.6","6.7","2749","90.9","90.02","65","227","214","-0.9","6.14","115","156","117","151","289","323","291"
"437",543521,"McHugh, Collin","438","99.8","0.245","0.092","0.397","0.337","0.278","0.250","0.208","24","98","86.5","15.2","2631","83.4","83.49","65","205","232","0.1","6.64","104","152","118","147","300","314","293"
"433",429722,"Santana, Ervin","450","96.2","0.202","0.183","0.214","0.385","0.272","0.328","0.237","22","109","89.3","15.5","2279","88.3","87.90","45","203","230","-0.4","5.97","108","158","118","146","299","322","301"
"431",657044,"Thompson, Ryan","437","98.6","0.183","0.147","0.233","0.330","0.252","0.290","0.211","20","109","85.1","8.2","2083","85.5","85.43","59","215","216","-0.1","6.85","105","149","114","145","304","319","290"
"430",606160,"Montero, Rafael","548","78.5","0.255","0.092","0.308","0.347","0.304","0.276","0.215","25","98","85.8","10.7","2233","93.0","91.29","52","211","219","-1.7","6.25","110","154","114","148","297","326","298"
